plotID,site,transect,td,td_note,gps_id,temp,vwc 
1,wc,1,64,,318,51,43.6
2,wc,1,56,,319,43.8,26.3
3,wc,1,56,,320,42.1,47.1
4,wc,1,70,,321,42.1,53.6
5,wc,1,85,,322,58.7,37.4
6,wc,1,88,,323,51.8,1.8
7,wc,1,110,,324,54.5,77.4
8,wc,1,120,> 120,325,65.8,56.9
9,wc,2,91,,326,49.3,51.5
10,wc,2,66,,327,51.9,48.4
11,wc,2,85,,328,59.3,17.3
12,wc,2,76,,329,43.7,54.5
13,wc,2,96,,330,45.4,60.9
14,wc,2,76,,331,67,1.8
15,wc,2,58,,332,42.6,48.8
16,wc,2,100,> 100 ,333,48.5,29.7
17,wc,2,100,> 100 ,334,58.5,12.7
18,wc,2,100,> 100 ,335,56.6,92.2
19,wc,2,110,,336,53.7,72
20,wc,2,118,,337,51.1,68.1
21,wc,2,120,> 120,338,57.7,53.6
22,wc,2,120,> 120,339,53,79.5
23,wc,2,120,> 120,340,54.6,60.4
24,wc,2,120,"> 120, ground ice at 54",341,43.4,53.1
25,wc,2,53,,342,53.7,4.8
26,wc,2,50,,343,41.8,46.4
27,wc,2,120,water depth = 23,,,
28,wc,2,45,water depth = 35,,,
29,wc,2,50,water depth = 23,,,
30,wc,2,110,water depth = 23,,,
31,wc,2,73,water depth = 47,,,
32,k31,3,51,rock,359,53.3,27.6
33,k31,3,120,> 120,360,55.1,27.4
34,k31,3,31,rock,361,57.4,19.6
35,k31,3,,rock,362,61.3,0
36,k31,3,13,rock,363,57.4,6.8
37,k31,3,110,,364,54.3,44.9
38,k31,3,32,rock,365,50.2,33.8
39,k31,3,103,,386,47.3,80.3
40,k31,3,39,rock,387,50.5,29
41,k31,3,81,water depth = 22,388,48.1,100
42,k31,3,90,rock,389,51.1,50.8
43,k31,3,103,,390,53.8,73.3
44,k31,3,120,> 120,391,46.9,75.4
45,k31,2,120,> 120,385,55,89.6
46,k31,2,,rock,366,52.8,50.6
47,k31,2,,rock,367,55.3,37
48,k31,2,,rock,368,53.9,34.4
49,k31,2,,rock,369,55.5,25.2
50,k31,2,,rock,370,55.2,31.5
51,k31,2,15,rock,371,53.9,24.3
52,k31,2,120,> 120,372,53.4,34.9
53,k31,2,120,> 120,373,52.1,75.3
54,k31,2,120,> 120,374,60.1,37.6
55,k31,2,29,rock,375,53.9,14.3
56,k31,,,,376,55.5,21.7
57,k31,1,72,,377,54.9,32.9
58,k31,1,70,,378,52.5,29.1
59,k31,1,94,,379,52.4,20.3
60,k31,1,61,,380,42.6,61.1
61,k31,1,110,,381,51.7,62.2
62,k31,1,120,> 120,382,49.5,52.2
63,k31,1,120,> 120,383,48.8,76.1
64,k31,1,120,> 120,384,48.9,76.8
65,k31,1,120,> 120,392,50.6,82.4
66,k31,1,120,> 120,393,48.1,90.3
67,k66,2,56,in tussock,405,58.2,32.2
68,k66,2,41,,406,52.6,0
69,k66,2,104,,407,51.9,9.2
70,k66,2,47,,408,50.3,3.9
71,k66,2,68,,409,41.5,7.9
72,k66,2,43,,410,56.8,0
73,k66,2,90,,411,43.7,25.1
74,k66,2,65,,412,49.5,50.1
75,k66,2,73,,413,51.5,49.7
76,k66,1,92,,414,59.1,58.7
77,k66,1,120,> 120,415,53.2,44.4
78,k66,1,120,> 120,416,51.1,9.5
79,k66,1,69,,417,55.4,0.3
80,k66,1,52,,418,46.6,20.5
81,k66,1,47,,419,54.3,10.2
82,k66,1,40,,420,53.4,16.5
83,k66,1,37,,421,52.2,11.2
84,k66,1,51,,422,71.2,17.9
85,k66,1,27,,423,47.2,19.6
86,k66,1,63,,424,59.4,16.2
87,k66,1,66,,425,77.7,0
88,k66,1,63,in tussock,426,55.1,12.3
89,k66,3,120,> 120,431,45.8,50.6
90,k66,3,90,,432,45.7,14.9
91,k66,3,120,> 120,433,43.5,29.9
92,k66,3,90,,434,58.6,1.9
93,k66,3,49,,,41,41
94,k66,3,51,,,37.8,7.6
95,k66,3,51,,,52.9,42.6
96,k66,3,44,,,39.4,3.3
97,k66,3,41,,,55.4,13.6
98,k66,3,56,,,51.6,0
99,k66,3,46,,,50.8,0
100,k66,3,36,,,53.4,32.5
101,k66,3,58,in tussock,,67.8,0
102,k66,3,53,in tussock,,56.1,2.4
103,k66,3,46,in tussock,,54.9,36.5
104,k66,3,41,,,54,28
105,k66,3,55,in tussock,,63.9,11.8
106,k66,3,50,,,53.5,42.1
107,k66,3,40,,,47.6,3.3